id,machine_id,empty,marka
1,85,True,
2,86,True,
3,84,True,
4,83,True,
5,82,True,
6,81,True,
7,80,True,
8,79,True,
9,78,True,
10,77,True,
11,76,True,
12,75,True,
13,74,True,
14,73,True,
15,72,True,
16,71,True,
17,70,True,
18,69,True,
19,68,True,
20,67,True,
21,66,True,
22,65,False,ВД8/8
23,64,True,
24,63,True,
25,62,True,
26,61,True,
27,60,False,ВД8/8
28,59,True,
29,58,True,
30,57,True,
31,56,False,У103
32,55,False,Y43102A
33,55,False,ЗіЛ-130
34,54,False,Y43102A
35,54,False,ЗіЛ-130
36,53,False,Y43102A
37,53,False,ЗіЛ-130
38,52,False,Y43102A
39,52,False,ЗіЛ-130
40,51,False,У43102
41,51,False,У43102
42,51,False,ЗіЛ
43,50,True,
44,49,True,
45,48,False,У43102-03
46,47,False,У43102
47,47,False,У43102
48,47,False,ЗіЛ
49,46,False,SCK-31
50,46,False,"BY-3,5"
51,45,True,
52,44,True,
53,43,True,
54,42,True,
55,41,True,
56,40,True,
57,39,True,
58,38,True,
59,37,True,
60,36,True,
61,35,True,
62,34,False,"ГК 3,5А"
63,33,True,
64,32,True,
65,31,True,
66,30,True,
67,29,False,EK7B
68,28,False,KNORR-BREMSE
69,28,False,LK3904
70,27,False,KNORR-BREMSE
71,27,False,LK3904
72,26,True,
73,25,True,
74,24,True,
75,23,True,
76,22,False,943102А
77,21,False,KNORR-BREMSE
78,21,False,LP4921
79,20,False,KNORR-BREMSE
80,20,False,LP4921
81,19,False,KNORR-BREMSE
82,19,False,LP4921
83,18,False,KNORR-BREMSE LP4921
84,17,True,
85,16,True,
86,15,True,
87,14,True,
88,13,True,
89,12,True,
90,11,True,
91,10,True,
92,9,True,
93,8,True,
94,7,False,KNORR-BREMSE
95,6,True,
96,5,False,KNORR-BREMSE LP4921
97,5,False,KNORR-BREMSE LP4921
98,4,False,KNORR-BREMSE LP4921
99,4,False,KNORR-BREMSE LP4921
100,3,False,KNORR-BREMSE LP4921
101,3,False,KNORR-BREMSE LP4921
102,2,False,"ВУ-3,5 10-145002М"
103,1,True,
