id,machine_id,empty,marka,volume
1,85,False,ТП-22,150
2,86,True,,
3,84,True,,
4,83,True,,
5,82,True,,
6,81,True,,
7,80,True,,
8,79,True,,
9,78,True,,
10,77,True,,
11,76,True,,
12,75,True,,
13,74,False,І-40,100
14,73,True,,
15,72,True,,
16,71,False,ТП-22,160
17,70,True,,
18,69,False,І-40,100
19,68,True,,
20,67,False,ТП-22,60
21,66,True,,
22,65,True,,
23,64,True,,
24,63,True,,
25,62,False,ТП-22с,400
26,61,False,ТП-22,200
27,60,False,І-40,200
28,59,False,ТП22,55
29,58,True,,
30,57,True,,
31,56,False,ТП22с,400
32,55,False,ТП-22,1200
33,54,False,ТП-22,300
34,53,False,ТП-22,300
35,52,False,ТП-22,400
36,51,False,ТП-22,200
37,50,True,,
38,49,False,ТП-22,1000
39,48,False,ТП-22,500
40,47,False,ТП-22,200
41,46,False,TELLUS Т-46,200
42,45,True,,
43,44,True,,
44,43,True,,
45,42,True,,
46,41,True,,
47,40,True,,
48,39,True,,
49,38,True,,
50,37,True,,
51,36,True,,
52,35,False,МГЕ 46,
53,34,False,МГЕ 46,
54,33,True,,
55,32,True,,
56,31,True,,
57,30,True,,
58,29,False,МGE46W,80
59,28,False,Т-46,40
60,27,False,Т-46,40
61,26,False,T46,600
62,25,False,T46,600
63,24,False,Т-46,
64,23,True,,
65,22,True,,
66,21,False,T-46,100
67,21,False,S-100,20
68,20,False,T-46,100
69,20,False,S-100,20
70,19,False,T-46,100
71,19,False,S-100,20
72,18,False,T-46,150
73,18,False,S-100,20
74,17,False,TELLUS Т-46,2200
75,16,False,TELLUS Т-46,2200
76,15,False,TELLUS Т-46,2200
77,14,False,TELLUS Т-46,2200
78,13,False,T46,1400
79,12,False,T46,1400
80,11,False,T46,1400
81,10,False,T46,1400
82,9,False,T46,1400
83,8,False,T46,1400
84,7,False,Т-46,1800
85,6,False,Т-46,1800
86,5,False,Т-46,
87,4,False,Т-46,
88,3,False,Т-46,
89,2,True,,
90,1,False,І 40,60
91,1,False,"МГЕ 46 В, Т46",150
