id,machine_id,inventory_number,number_machine,year_of_commissioning,rated_capacity,costs_at_rate,dizmaslo,diametr_wheel_pairs,date_ost_kr,initial_value,residual_value,depreciation_end_date,breakage,breakage_date,breakage_info,brigade_id
1,1,6470412000240,9,2006-07-30,,0.0,0.0,4.0,2014-04-30,5062265.0,3931719.72,2027-11-30,False,2000-01-01,,2
2,2,302676,55,2006-08-21,846.5,50.0,3.5,1050.0,,7089990.22,6103433.83,2027-11-30,False,2020-04-16,"test
UPDATE: Машина була починена 2020-04-06",2
3,36,6470412000237,4,2002-09-30,348.0,26.4,2.4,900.0,2008-03-29,9170061.0,6686052.21,2023-11-03,False,2020-04-07,"Барахлить двигун
UPDATE: Машина була починена 2020-04-08",2
4,36,6470412000241,10,2012-04-02,348.0,24.7,2.0,900.0,,20770132.35,15801925.69,2033-11-30,False,2000-01-01,,2
5,36,6470412000236,324,1994-11-01,348.0,24.7,2.0,900.0,2007-06-29,8023803.0,5972863.53,2022-11-30,False,2000-01-01,,2
6,36,6390412000196,408,2003-07-30,348.0,24.7,2.0,900.0,2016-03-29,10316318.0,7365735.92,2024-11-30,False,2000-01-01,,2
7,36,6390412000197,409,2003-09-30,348.0,24.7,2.0,900.0,2015-03-25,10316318.0,7566987.66,2024-11-30,False,2000-01-01,,2
8,35,6390412000206,3109,2003-11-28,348.0,26.9,2.0,730.0,,10015259.0,7592296.58,2024-11-30,False,2000-01-01,,2
9,35,6390412000209,3110,2004-01-30,348.0,26.9,2.0,730.0,,11128065.0,8738068.29,2025-11-30,False,2000-01-01,,2
10,35,6390412000208,3111,2004-06-28,348.0,26.9,2.0,730.0,,11128065.0,8737818.55,2025-11-30,False,2000-01-01,,2
11,35,6390412000207,3112,2003-12-25,348.0,26.9,2.0,730.0,,10015259.0,7551309.66,2024-11-30,False,2000-01-01,,2
12,35,6470412000263,3333,2008-09-30,440.0,29.1,2.0,730.0,,20170094.0,11355454.53,2028-09-01,False,2000-01-01,,2
13,35,6470412000264,3334,2008-09-30,440.0,29.1,2.0,730.0,,20170094.0,11355454.53,2028-09-01,False,2000-01-01,,2
14,34,6390412000201,3377,2009-05-28,440.0,31.6,2.0,900.0,,16692098.0,12876251.77,2030-11-30,False,2000-01-01,,2
15,34,6390412000202,3391,2009-07-16,440.0,31.6,2.0,900.0,,16692098.0,12753423.27,2030-11-30,False,2000-01-01,,2
16,34,6390412000203,3392,2009-10-30,440.0,31.6,2.0,900.0,,16692098.0,12671869.51,2030-11-30,False,2000-01-01,,3
17,34,6470412000277,3536,2013-04-09,440.0,31.6,2.0,900.0,,21143323.0,16367940.68,2034-11-30,False,2000-01-01,,3
18,33,6390412000204,1227,2003-07-30,348.0,24.7,2.0,900.0,2014-03-24,10085261.0,7739739.54,2024-11-30,False,2000-01-01,".
UPDATE: Машина була починена 2020-03-19",3
19,33,6390412000205,1228,2003-08-28,348.0,24.7,2.0,900.0,2016-03-29,10085261.0,8023849.74,2025-02-28,False,2000-01-01,".
UPDATE: Машина була починена 2020-03-19",3
20,33,6390412000211,1258,2005-06-30,348.0,24.7,2.0,900.0,2016-03-29,12326430.0,10000277.04,2027-02-28,False,2000-01-01,,3
21,33,6390412000210,1259,2005-05-30,348.0,24.7,2.0,900.0,2015-03-24,12326430.0,9900695.25,2026-11-30,False,2000-01-01,,3
22,32,6470412000294,6,2007-12-30,243.0,20.7,3.5,730.0,2016-04-29,9501614.53,5590113.15,2029-09-30,False,2000-01-01,,3
23,32,6470412000295,10,2008-03-28,243.0,19.7,3.5,730.0,2015-04-29,9500161.45,5509087.07,2029-01-28,False,2000-01-01,,3
24,31,6470412000289,1,2003-06-02,440.0,52.3,3.5,730.0,,6730989.0,4751522.22,2024-11-30,False,2000-01-01,,3
25,30,6390412000213,501,2003-07-30,348.0,22.1,2.0,900.0,2016-03-29,2253080.0,1620657.2,2025-02-28,False,2000-01-01,,3
26,30,6390412000214,506,2003-08-30,348.0,22.1,2.0,900.0,2016-03-29,2253080.0,1632621.11,2025-02-28,False,2000-01-01,,3
27,29,6390412000215,731,2003-07-30,235.0,20.1,1.5,760.0,,5165085.0,3944263.04,2024-11-30,False,2000-01-01,,3
28,29,6390412000218,732,2003-09-30,235.0,20.1,1.5,760.0,,5165085.0,3942376.04,2024-11-30,False,2000-01-01,,3
29,28,6470412000296,4,2009-02-16,250.0,17.9,4.0,1050.0,,6932268.14,4049853.82,2029-02-01,False,2000-01-01,,3
30,27,6390412000195,5,2002-10-31,246.0,23.4,2.0,950.0,2011-03-29,3315574.0,2239766.66,2023-11-30,False,2000-01-01,,3
31,27,6390412000198,8,2005-06-30,190.0,16.5,2.0,950.0,2013-03-25,4558914.0,3330258.75,2026-11-30,False,2000-01-01,,2
32,27,6390412000199,9,2005-06-30,190.0,16.5,2.0,950.0,2013-03-25,4558914.0,3341669.34,2026-11-30,False,2000-01-01,,4
33,27,6390412000200,10,2005-06-30,190.0,16.5,2.0,950.0,2013-03-25,4558914.0,3358375.71,2026-11-30,False,2000-01-01,,4
34,26,6390412000219,2,2006-06-30,580.0,64.9,2.0,950.0,2011-03-26,3247580.0,2260235.62,2024-11-30,False,2000-01-01,,4
35,26,6390412000220,3,2003-06-30,580.0,60.7,2.0,950.0,2012-03-26,3247580.0,2247254.64,2024-11-30,False,2000-01-01,,4
36,25,6470412000297,17,2004-03-18,,0.0,0.0,950.0,,3436470.0,2564981.01,2025-11-30,False,2000-01-01,,4
37,24,6470412000298,24,2008-04-30,,0.0,0.0,950.0,,8898519.73,4829434.38,2028-04-01,False,2000-01-01,,4
38,23,6390412000216,6703,2003-08-30,156.0,7.9,2.0,,,2611887.0,1666528.7,2022-11-30,False,2000-01-01,,4
39,23,6390412000217,6803,2003-08-30,156.0,7.9,2.0,,,2611887.0,1666528.7,2022-11-30,False,2000-01-01,,4
40,22,6390403000102,150927,2004-05-30,165.0,0.0,0.0,гусянка,,169975.0,37500.0,2016-11-30,False,2000-01-01,,4
41,22,6390403000103,150921,2004-05-30,165.0,0.0,0.0,гусянка,,169975.0,37500.0,2016-11-30,False,2000-01-01,,4
42,21,6390412000223,800007,2010-10-31,175.0,0.0,0.0,шини,,671562.0,518122.43,2023-11-30,False,2000-01-01,,4
43,21,6390412000224,800012,2010-10-31,175.0,0.0,0.0,шини,,671562.0,518122.43,2023-11-30,False,2000-01-01,,4
44,20,6390412000221,2802070,2010-10-31,86.0,0.0,0.0,каток,,617563.0,477521.14,2024-11-30,False,2000-01-01,,4
45,20,6390412000222,2802075,2010-10-31,86.0,0.0,0.0,каток,,713307.0,556421.26,2024-11-30,False,2000-01-01,,4
46,19,6390412000212,2,2002-10-01,1250.0,119.0,2.5,1050.0,2014-06-27,12447418.0,9700710.99,2028-11-30,False,2000-01-01,,2
47,18,6470412000257,248,1990-11-01,220.0,16.4,2.5,710.0,2016-11-22,4252161.0,3124961.8,2021-11-30,False,2000-01-01,,5
48,18,6470412000262,258,1986-06-17,220.0,16.4,2.5,710.0,2017-03-28,3541667.0,3541667.0,2020-11-30,False,2000-01-01,,5
49,18,6470412000253,267,1986-01-03,220.0,16.7,2.5,710.0,2011-04-29,3541667.0,2416936.14,2020-11-30,False,2000-01-01,,5
50,18,6470412000246,288,1987-07-01,220.0,16.7,2.5,710.0,2010-03-26,3541667.0,2425839.18,2020-11-30,False,2000-01-01,,5
51,18,6470412000247,325,1988-01-01,220.0,16.4,2.5,710.0,2016-08-02,3543828.0,2425205.72,2020-11-30,False,2000-01-01,,5
52,17,6470412000272,35,1990-07-01,220.0,19.1,2.5,710.0,2012-06-25,4624131.0,3912925.04,2030-11-30,False,2000-01-01,,5
53,17,6470412000261,46,1990-07-01,220.0,19.1,2.5,710.0,2010-04-21,1943631.0,1334063.0,2021-11-01,False,2000-01-01,,5
54,17,6470412000254,48,1990-07-01,220.0,19.1,2.5,710.0,2010-06-30,1851813.0,1328447.86,2021-11-30,False,2000-01-01,,5
55,17,6470412000250,145,1993-09-01,220.0,19.1,2.5,710.0,2010-06-30,2157928.0,1673896.73,2022-11-30,False,2000-01-01,,5
56,8,6470412000243,138,1998-12-01,243.0,19.9,3.5,710.0,2009-05-05,541373.0,313791.78,2019-11-30,False,2000-01-01,,5
57,16,6470412000244,36,2001-07-31,,0.0,0.0,950.0,2011-04-29,9641492.0,9641492.0,2022-11-30,False,2000-01-01,,5
58,3,6470412000252,253,1978-01-01,276.0,23.6,2.0,950.0,2002-04-19,6886780.0,4689131.06,2020-11-30,False,2000-01-01,,5
59,3,6470412000255,392,1984-06-01,,22.4,0.0,950.0,2010-01-29,6886780.0,4699031.9,2020-11-30,False,2000-01-01,,5
60,3,6470412000270,471,1987-02-27,,22.4,0.0,950.0,2010-06-30,6886780.0,4699031.9,2020-11-30,False,2000-01-01,".
UPDATE: Машина була починена 2020-03-19",5
61,15,6470412000238,29,1987-12-12,176.0,12.3,2.0,710.0,2011-02-28,591002.0,407651.43,2020-11-30,False,2000-01-01,,2
62,15,6470412000239,48,1989-06-01,176.0,11.5,2.0,710.0,2013-09-09,709203.0,477518.78,2021-11-30,False,2000-01-01,,6
